Load,Max Strain,Min Strain,Max Von Mises Stress,Min Von Mises Stress,Length,Width,Height,Modulus,Poison,Displacement_x,Displacement_y
2.0720776744738583,0.004516386739886888,-0.004516386739886275,1657.4812848707206,1.6472673894503086e-11,100,10,15,200000,0.3,-0.027747989233342506,-0.3704635332908426
2.0775577725810894,0.004528331389804965,-0.004528331389804359,1661.8648850435532,2.6033427948197734e-11,100,10,15,200000,0.3,-0.02782137533520073,-0.3714433114780187
2.231024909169879,0.004862834748070269,-0.004862834748069653,1784.6251994237673,2.79056985936563e-11,100,10,15,200000,0.3,-0.02987651279756387,-0.39888146129503665
2.2724943192470946,0.0049532232002460295,-0.004953223200245398,1817.7971079599913,2.1089155400879124e-11,100,10,15,200000,0.3,-0.030431845620513168,-0.4062957123966961
2.33422799365511,0.0050877804863630575,-0.005087780486362413,1867.1786592590197,2.9753317868139045e-11,100,10,15,200000,0.3,-0.03125854500244783,-0.417332979689307
2.453700697633228,0.005348188164449834,-0.005348188164449146,1962.746394646599,2.305320832928683e-11,100,10,15,200000,0.3,-0.032858449940618054,-0.43869331795885724
2.494561277804017,0.005437249585621841,-0.005437249585621171,1995.431292397467,3.138294116114472e-11,100,10,15,200000,0.3,-0.03340562968808347,-0.44599871731181673
2.549903210501102,0.0055578751654791515,-0.005557875165478455,2039.700008210581,1.7211421032159394e-11,100,10,15,200000,0.3,-0.03414673479796847,-0.4558932150802527
2.8070275042792536,0.006118313977801819,-0.006118313977801026,2245.377000957057,3.393199706791229e-11,100,10,15,200000,0.3,-0.037589985127470915,-0.5018640662415891
3.014835328033349,0.006571260559491164,-0.006571260559490319,2411.6051221154876,3.984009984018685e-11,100,10,15,200000,0.3,-0.040372819635640156,-0.5390177027011739
3.2099831541451693,0.006996612883405879,-0.006996612883404921,2567.7063501477405,1.9769304993294986e-11,100,10,15,200000,0.3,-0.04298611924528724,-0.5739078779422004
3.379072306601043,0.0073651666376487596,-0.007365166637647819,2702.962913703614,4.282593207221496e-11,100,10,15,200000,0.3,-0.04525045713166105,-0.604139063593029
3.3951945173359004,0.007400307279178616,-0.007400307279177685,2715.859275115645,3.9814931175612466e-11,100,10,15,200000,0.3,-0.04546635585756291,-0.6070215284865381
3.4708816662156834,0.0075652781390028925,-0.007565278139001935,2776.402388107473,4.2830469191786357e-11,100,10,15,200000,0.3,-0.046479911583822975,-0.6205535157011758
3.5906432018036485,0.007826315366487719,-0.007826315366486663,2872.2011635731646,4.3845071397226755e-11,100,10,15,200000,0.3,-0.04808368437718952,-0.641965493723437
3.625139810264039,0.007901505610049007,-0.007901505610047967,2899.795439414745,4.5714242440236724e-11,100,10,15,200000,0.3,-0.048545641731364886,-0.6481330885072738
3.676454574774274,0.008013353406514087,-0.00801335340651306,2940.8427721769413,4.392170706896534e-11,100,10,15,200000,0.3,-0.04923281748287385,-0.6573075751612423
3.678584542403689,0.00801799597260916,-0.008017995972608152,2942.546560373021,4.7549870388916325e-11,100,10,15,200000,0.3,-0.04926134069876309,-0.6576883887492213
3.7497926743826806,0.008173204180778137,-0.008173204180777067,2999.506850780938,4.746831209734623e-11,100,10,15,200000,0.3,-0.05021491618670007,-0.6704195795230785
3.7702348336022466,0.008217760761822993,-0.00821776076182194,3015.858793927752,4.751261033948449e-11,100,10,15,200000,0.3,-0.050488665004574274,-0.6740744012635329
4.001810162233275,0.008722511986353997,-0.008722511986352908,3201.0988445166604,4.0559172087899185e-11,100,10,15,200000,0.3,-0.0535897793135217,-0.7154773928234033
4.028840912172141,0.008781429333950132,-0.008781429333949004,3222.7210851747436,2.5946799180058616e-11,100,10,15,200000,0.3,-0.0539517584842414,-0.720310178414994
4.090171889976096,0.008915108885788545,-0.00891510888578734,3271.7805143386054,3.625765407802638e-11,100,10,15,200000,0.3,-0.05477306520104035,-0.7312754482102993
4.1052486010652185,0.008947970712776428,-0.008947970712775265,3283.840567287137,5.0647257954267376e-11,100,10,15,200000,0.3,-0.05497496323899946,-0.7339709898539779
4.179018936356325,0.009108763605924315,-0.009108763605923179,3342.850396710976,3.966397909163586e-11,100,10,15,200000,0.3,-0.05596285017712664,-0.7471602729588849
4.180512627860136,0.009112019318093953,-0.009112019318092753,3344.0452195419016,5.1581072797642946e-11,100,10,15,200000,0.3,-0.055982852774652814,-0.747427327731477
4.312200310610827,0.009399051272305201,-0.009399051272304018,3449.383871801987,4.4897911078536816e-11,100,10,15,200000,0.3,-0.05774633319246972,-0.7709715629904635
4.347999192363209,0.009477080004934708,-0.009477080004933518,3478.019852612352,4.6545952782355637e-11,100,10,15,200000,0.3,-0.05822572978926127,-0.7773719891835665
4.366558812011568,0.009517533324378206,-0.009517533324377032,3492.8659284136825,4.454079651549498e-11,100,10,15,200000,0.3,-0.058474268795555284,-0.780690234612378
4.3692497667830645,0.00952339864139672,-0.009523398641395502,3495.0184573594834,5.888867358755412e-11,100,10,15,200000,0.3,-0.05851030440606672,-0.7811713462158937
4.454737037812381,0.009709730255342533,-0.009709730255341258,3563.4008126984095,4.7717139842931076e-11,100,10,15,200000,0.3,-0.05965509733797841,-0.7964554819734747
4.477649817723693,0.009759671904075229,-0.00975967190407397,3581.729036758356,3.918670542707763e-11,100,10,15,200000,0.3,-0.05996193118794321,-0.8005520221312248
4.557717120449581,0.00993418992952598,-0.009934189929524669,3645.7758905192572,5.028299308662772e-11,100,10,15,200000,0.3,-0.061034143239330124,-0.8148671302154006
